subject,condition,list,order,prime_verb,prime_type,target,response
17,LVC,1,12,command,PO,13_T,D
17,LVC,1,9,hug,DO,15_T,OTHER
17,LVC,1,7,smile,PO,16_T,OTHER
17,LVC,1,11,massage,PO,19_T,D
17,LVC,1,3,advice,DO,20_T,D
17,LVC,1,4,tip,PO,21_T,D
17,LVC,1,8,answer,PO,23_T,OTHER
17,LVC,1,2,compliment,PO,26_T,D
17,LVC,1,14,bow,DO,3_T,D
17,LVC,1,6,aid,PO,4_T,OTHER
17,LVC,1,5,encouragement,DO,5_T,OTHER
17,LVC,1,1,reply,DO,6_T,D
18,IDIOM,6,8,hand with the landscape,DO,11_T,MISSING
18,IDIOM,6,13,third degree,DO,12_T,D
18,IDIOM,6,10,run for his money,DO,13_T,MISSING
18,IDIOM,6,3,once-over,PO,15_T,MISSING
18,IDIOM,6,2,shirt off his back,DO,16_T,D
18,IDIOM,6,6,break to,PO,19_T,MISSING
18,IDIOM,6,14,green light,PO,20_T,D
18,IDIOM,6,7,piece of his mind,DO,21_T,P
18,IDIOM,6,9,earful,DO,23_T,D
18,IDIOM,6,5,blank check,PO,26_T,D
18,IDIOM,6,1,whirl,DO,3_T,D
18,IDIOM,6,11,hand,PO,4_T,P
18,IDIOM,6,4,free rein,PO,5_T,MISSING
18,IDIOM,6,12,word,PO,6_T,D
19,NLVC,4,1,cigarette,PO,11_T,P
19,NLVC,4,3,apple,PO,12_T,P
19,NLVC,4,8,check,PO,13_T,D
19,NLVC,4,7,jumper cable,DO,15_T,OTHER
19,NLVC,4,4,ball,PO,16_T,D
19,NLVC,4,9,flower,DO,19_T,D
19,NLVC,4,2,music,PO,20_T,D
19,NLVC,4,6,key,DO,21_T,D
19,NLVC,4,11,video tape,PO,23_T,P
19,NLVC,4,12,number,PO,26_T,P
19,NLVC,4,10,towel,DO,3_T,D
19,NLVC,4,5,contract,DO,4_T,OTHER
19,NLVC,4,13,toy,DO,5_T,D
19,NLVC,4,14,bouquet,DO,6_T,D
20,NLVC,2,11,ball,DO,11_T,D
20,NLVC,2,8,video tape,DO,12_T,D
20,NLVC,2,5,number,PO,13_T,OTHER
20,NLVC,2,14,apple,PO,15_T,OTHER
20,NLVC,2,2,flower,DO,16_T,D
20,NLVC,2,1,cigarette,PO,19_T,D
20,NLVC,2,3,jumper cable,PO,20_T,D
